epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,11531.2,1.2256,0.70055,0.91898,0.75159,0.55639,0.64378,0.37335,1.39318,0.88087,0.98452,0.000484272,0.000484272,0.000484272
79,11675.4,1.22251,0.69338,0.92196,0.7255,0.56193,0.63936,0.37085,1.38649,0.88819,0.98457,0.000473919,0.000473919,0.000473919
80,11826.4,1.23559,0.69487,0.9162,0.73917,0.5634,0.63841,0.37015,1.41276,0.91974,0.99423,0.000463579,0.000463579,0.000463579
81,11979.4,1.23401,0.71172,0.92458,0.74115,0.55673,0.63786,0.37154,1.39805,0.88483,0.99088,0.000453258,0.000453258,0.000453258
82,12128.2,1.20559,0.68552,0.91262,0.75683,0.55684,0.64217,0.37345,1.39004,0.88927,0.98295,0.00044296,0.00044296,0.00044296
83,12272.9,1.22453,0.70763,0.91219,0.73967,0.56955,0.64512,0.37315,1.40418,0.88021,0.99647,0.000432689,0.000432689,0.000432689
84,12418.1,1.20609,0.68875,0.91681,0.7403,0.56808,0.6449,0.3766,1.38002,0.8779,0.98346,0.000422449,0.000422449,0.000422449
85,12565,1.2259,0.70396,0.91915,0.73376,0.56734,0.6472,0.37497,1.38055,0.86445,0.9836,0.000412246,0.000412246,0.000412246
86,12711.4,1.19806,0.69026,0.9165,0.74786,0.56837,0.65106,0.37706,1.38823,0.88955,0.98737,0.000402084,0.000402084,0.000402084
87,12856.7,1.20239,0.68498,0.91417,0.74701,0.5593,0.64432,0.37627,1.38543,0.88104,0.98581,0.000391966,0.000391966,0.000391966
88,13002.3,1.20241,0.67698,0.90688,0.75594,0.56052,0.64743,0.3754,1.38536,0.88712,0.99094,0.000381899,0.000381899,0.000381899
89,13148.5,1.1812,0.66255,0.90444,0.75773,0.56662,0.64875,0.37943,1.3806,0.86891,0.98575,0.000371885,0.000371885,0.000371885
90,13297.8,1.1824,0.66375,0.91103,0.73662,0.57001,0.64649,0.37464,1.37596,0.90553,0.97774,0.000361929,0.000361929,0.000361929
91,13445.3,1.17189,0.66097,0.90374,0.74201,0.5757,0.65371,0.37813,1.38313,0.87911,0.98697,0.000352037,0.000352037,0.000352037
92,13594.1,1.19669,0.67644,0.90738,0.75629,0.55403,0.6466,0.37625,1.3807,0.88715,0.9761,0.000342211,0.000342211,0.000342211
93,13743.3,1.19052,0.66868,0.89745,0.73677,0.5798,0.64887,0.3759,1.38294,0.86063,0.98312,0.000332457,0.000332457,0.000332457
94,13893.1,1.15775,0.647,0.90286,0.7389,0.57345,0.64842,0.37823,1.36713,0.87084,0.97374,0.000322778,0.000322778,0.000322778
