epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,20167,1.12617,0.62248,1.13146,0.8646,0.77389,0.85661,0.54167,1.1868,0.57429,1.25739,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,20551.3,1.11563,0.61773,1.12589,0.86564,0.7744,0.85691,0.54194,1.18644,0.57272,1.25682,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,20935.9,1.11449,0.61828,1.12737,0.86399,0.77629,0.85688,0.54189,1.18644,0.57205,1.25553,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,21319.7,1.10682,0.61244,1.12588,0.86374,0.77626,0.85721,0.54192,1.18632,0.57152,1.25539,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,21706.2,1.1122,0.61356,1.12721,0.86465,0.77599,0.85744,0.54221,1.18554,0.57051,1.25647,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,22090.2,1.09792,0.6062,1.11555,0.86648,0.77475,0.85768,0.54242,1.18578,0.56976,1.25763,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,22474.4,1.09242,0.60222,1.11612,0.86672,0.77473,0.8576,0.54239,1.18563,0.56904,1.25763,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,22858.1,1.09945,0.60208,1.11173,0.86673,0.77557,0.85803,0.54267,1.18541,0.56787,1.25759,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,23243.9,1.09528,0.59951,1.11395,0.86498,0.77699,0.85814,0.5428,1.18563,0.56758,1.2576,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,23627.7,1.07798,0.59433,1.11062,0.86605,0.77627,0.85812,0.54277,1.18563,0.56716,1.25761,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,24014.6,1.08432,0.59502,1.11211,0.86579,0.77696,0.85814,0.54282,1.18573,0.56651,1.25769,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,24406.8,1.07772,0.58936,1.10423,0.86514,0.77793,0.8581,0.54271,1.18626,0.56619,1.2582,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,24793.8,1.07433,0.59175,1.1058,0.86426,0.77858,0.85819,0.54258,1.18628,0.56576,1.2585,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,25176.6,1.07211,0.58221,1.10225,0.8651,0.77829,0.85802,0.54251,1.18646,0.56546,1.25965,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,25560.5,1.07357,0.58431,1.10003,0.86533,0.77773,0.85787,0.54243,1.18697,0.56522,1.26054,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,25944.5,1.06169,0.58031,1.09912,0.86458,0.7782,0.8579,0.54235,1.18701,0.56484,1.26086,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,26328.9,1.06684,0.57937,1.0973,0.86346,0.77894,0.85779,0.54242,1.18716,0.56451,1.26138,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,26713.2,1.05515,0.57391,1.08915,0.86329,0.77923,0.85782,0.54231,1.18725,0.56404,1.26138,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,27099.1,1.05566,0.5732,1.09446,0.86273,0.77922,0.85768,0.54228,1.18751,0.56376,1.26144,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,27485.5,1.05466,0.56967,1.09127,0.8622,0.77978,0.85775,0.54228,1.18767,0.5635,1.2616,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,27872.2,1.05236,0.56696,1.0876,0.86277,0.77943,0.8579,0.54248,1.18781,0.56309,1.26196,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,28255.9,1.05257,0.5659,1.08842,0.86295,0.77945,0.85792,0.54246,1.18806,0.56288,1.26251,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
