epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,32456.7,1.06015,0.56978,1.12078,0.86289,0.77577,0.85658,0.5386,1.20348,0.5718,1.31268,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,32836.8,1.05329,0.56726,1.12214,0.86272,0.77628,0.85664,0.53871,1.20363,0.57169,1.31305,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,33216,1.04607,0.56132,1.11833,0.86248,0.77639,0.85658,0.53861,1.2038,0.57155,1.31341,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,33595.5,1.0511,0.5677,1.12076,0.86236,0.77637,0.85461,0.53831,1.20392,0.57137,1.31379,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,33974.1,1.04634,0.56209,1.11967,0.863,0.77609,0.85647,0.53847,1.20415,0.57135,1.31419,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,34354,1.05578,0.56767,1.11781,0.86252,0.77644,0.85645,0.53843,1.2043,0.57142,1.31462,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,34728.4,1.01371,0.51612,1.09843,0.86226,0.7766,0.85457,0.53817,1.20457,0.57122,1.31509,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,35104.5,1.00342,0.51019,1.09212,0.86243,0.77658,0.85449,0.53815,1.20472,0.57109,1.31547,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,35483.7,1.00079,0.50812,1.09562,0.86273,0.77618,0.85442,0.53804,1.20492,0.57095,1.31584,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,35857.8,1.0027,0.50886,1.09403,0.86282,0.77613,0.85442,0.53792,1.20516,0.57086,1.31629,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,36232.4,1.00763,0.51004,1.09098,0.86281,0.77624,0.85445,0.53784,1.20544,0.57086,1.31682,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,36606.3,1.00445,0.5073,1.0902,0.86262,0.77658,0.85438,0.53776,1.20559,0.57065,1.31737,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,36978.9,1.00082,0.50458,1.09175,0.86217,0.77701,0.85431,0.53772,1.20587,0.57064,1.31792,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,37354.1,1.00153,0.5069,1.08817,0.86199,0.77715,0.85408,0.53737,1.20613,0.57058,1.3184,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,37725.9,1.00036,0.50587,1.09061,0.86207,0.77705,0.85426,0.53753,1.20643,0.5706,1.31905,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,38099.2,0.99838,0.50496,1.09052,0.86186,0.7771,0.85415,0.53711,1.20661,0.5707,1.31955,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
